//Taille
2
//parametre de taille
0 1
1 3
//l'intervalle de la temperature pour ferrite
298.15 1811. 2180. 2896. 5000. 6000.
//ordre pour Gpower
-9 -3 -2 -1 0 1 2 3 4
//Taille pour GHSERp
6 3 2 10
//matrice GHSERp pour ferrite
//temperature i[Fe/Cr/Mo] j[C/Va] l[l'ordre] valeur
0 2 0 7 -0.004860296
0 2 0 8 5.66283e-7
0 2 0 9 -1.30927e-10
1 2 0 0 -96.46414
1 2 0 1 0
1 2 0 2 3.59999e10
1 2 0 3 -7.9289999e8
1 2 0 4 7753612
1 2 0 5 271148.375
1 2 0 6 569.1097
1 2 0 7 -0.004860296
1 2 0 8 5.66283e-7
1 2 0 9 -1.30927e-10
2 2 0 0 -96.46414
2 2 0 1 0
2 2 0 2 3.59999e10
2 2 0 3 -7.9289999e8
2 2 0 4 7753612
2 2 0 5 271148.375
2 2 0 6 569.1097
2 2 0 7 -0.004860296
2 2 0 8 5.66283e-7
2 2 0 9 -1.30927e-10
3 2 0 0 -155.53829
3 2 0 1 -4.849315e33
3 2 0 2 3.6e10
3 2 0 3 -7.929e8
3 2 0 4 7687800
3 2 0 5 248338.267
3 2 0 6 720.7497459999
3 2 0 7 -0.0014169
3 2 0 8 0
3 2 0 9 0
4 2 0 0 -72.9
4 2 0 1 0
4 2 0 2 3.6e10
4 2 0 3 -7.928e8
4 2 0 4 7687800
4 2 0 5 278894.677
4 2 0 6 437.189999
4 2 0 7 -0.0014169
4 2 0 8 0
4 2 0 9 0
5 2 0 0 -72.9
5 2 0 1 0
5 2 0 2 3.6e10
5 2 0 3 -7.928e8
5 2 0 4 7687800
5 2 0 5 278894.677
5 2 0 6 437.189999
5 2 0 7 -0.0014169
5 2 0 8 0
5 2 0 9 0
0 1 1 0 -26.908
0 1 1 1 0
0 1 1 2 0
0 1 1 3 0
0 1 1 4 139250
0 1 1 5 -8856.94
0 1 1 6 157.48
0 1 1 7 0.00189435
0 1 1 8 -1.47721e-6
0 1 1 9 0
1 1 1 0 -26.908
1 1 1 1 0
1 1 1 2 0
1 1 1 3 0
1 1 1 4 139250
1 1 1 5 -8856.94
1 1 1 6 157.48
1 1 1 7 0.00189435
1 1 1 8 -1.47721e-6
1 1 1 9 0
2 1 1 0 -50 
2 1 1 1 -2.88526e32 
2 1 1 2 0 
2 1 1 3 0 
2 1 1 4 0
2 1 1 5 -34869.344 
2 1 1 6 344.18 
2 1 1 7 0 
2 1 1 8 0
2 1 1 9 0
3 1 1 0 -50 
3 1 1 1 -2.88526e32 
3 1 1 2 0 
3 1 1 3 0 
3 1 1 4 0
3 1 1 5 -34869.344 
3 1 1 6 344.18 
3 1 1 7 0 
3 1 1 8 0
3 1 1 9 0
4 1 1 0 -50 
4 1 1 1 -2.88526e32 
4 1 1 2 0 
4 1 1 3 0 
4 1 1 4 0
4 1 1 5 -34869.344 
4 1 1 6 344.18 
4 1 1 7 0 
4 1 1 8 0
4 1 1 9 0
5 1 1 0 -50 
5 1 1 1 -2.88526e32 
5 1 1 2 0 
5 1 1 3 0 
5 1 1 4 0
5 1 1 5 -34869.344 
5 1 1 6 344.18 
5 1 1 7 0 
5 1 1 8 0
5 1 1 9 0
0 2 1 0 -23.56414
0 2 1 1 0
0 2 1 2 0
0 2 1 3 0
0 2 1 4 65812
0 2 1 5 -7746.302
0 2 1 6 131.9197
0 2 1 7 -0.003443396
0 2 1 8 5.66283e-7
0 2 1 9 -1.30927e-10
1 2 1 0 -23.56414
1 2 1 1 0
1 2 1 2 0
1 2 1 3 0
1 2 1 4 65812
1 2 1 5 -7746.302
1 2 1 6 131.9197
1 2 1 7 -0.003443396
1 2 1 8 5.66283e-7
1 2 1 9 -1.30927e-10
2 2 1 0 -23.56414
2 2 1 1 0
2 2 1 2 0
2 2 1 3 0
2 2 1 4 65812
2 2 1 5 -7746.302
2 2 1 6 131.9197
2 2 1 7 -0.003443396
2 2 1 8 5.66283e-7
2 2 1 9 -1.30927e-10
3 2 1 0 -42.63829
3 2 1 1 -4.849315e33
3 2 1 2 0
3 2 1 3 0
3 2 1 4 0
3 2 1 5 -30556.41
3 2 1 6 283.559746
3 2 1 7 0
3 2 1 8 0
3 2 1 9 0
4 2 1 0 -42.63829
4 2 1 1 -4.849315e33
4 2 1 2 0
4 2 1 3 0
4 2 1 4 0
4 2 1 5 -30556.41
4 2 1 6 283.559746
4 2 1 7 0
4 2 1 8 0
4 2 1 9 0
5 2 1 0 0
5 2 1 1 0
5 2 1 2 0
5 2 1 3 0
5 2 1 4 0
5 2 1 5 0
5 2 1 6 0
5 2 1 7 0
5 2 1 8 0
5 2 1 9 0
0 0 1 0 -23.5143
0 0 1 1 0
0 0 1 2 0
0 0 1 3 0
0 0 1 4 77359
0 0 1 5 1225.7
0 0 1 6 124.134
0 0 1 7 -0.00439752
0 0 1 8 -5.8927e-8
0 0 1 9 0
1 0 1 0 -46
1 0 1 1 2.29603e31
1 0 1 2 0
1 0 1 3 0
1 0 1 4 0
1 0 1 5 -25383.581
1 0 1 6 299.31255
1 0 1 7 0
1 0 1 8 0
1 0 1 9 0
2 0 1 0 -46
2 0 1 1 2.29603e31
2 0 1 2 0
2 0 1 3 0
2 0 1 4 0
2 0 1 5 -25383.581
2 0 1 6 299.31255
2 0 1 7 0
2 0 1 8 0
2 0 1 9 0
3 0 1 0 -46
3 0 1 1 2.29603e31
3 0 1 2 0
3 0 1 3 0
3 0 1 4 0
3 0 1 5 -25383.581
3 0 1 6 299.31255
3 0 1 7 0
3 0 1 8 0
3 0 1 9 0
4 0 1 0 -46
4 0 1 1 2.29603e31
4 0 1 2 0
4 0 1 3 0
4 0 1 4 0
4 0 1 5 -25383.581
4 0 1 6 299.31255
4 0 1 7 0
4 0 1 8 0
4 0 1 9 0
5 0 1 0 -46
5 0 1 1 2.29603e31
5 0 1 2 0
5 0 1 3 0
5 0 1 4 0
5 0 1 5 -25383.581
5 0 1 6 299.31255
5 0 1 7 0
5 0 1 8 0
5 0 1 9 0
//l'ordre pour L1power
0 1
//Taille pour L1
6 2 3 2 2 3
//matrice L1 pour ferrite (Fe-Cr-Mo-C/Va)
//temperature i[Fe/Cr] j[C] k[Va] l[l'ordre] m[l'ordre pour polynom] valeur
0 0 1 0 0 1 -1250000
0 0 1 0 0 2 667.7  
1 0 1 0 0 1 -1250000
1 0 1 0 0 2 667.7 
2 0 1 0 0 1 -1250000
2 0 1 0 0 2 667.7 
3 0 1 0 0 1 -1250000
3 0 1 0 0 2 667.7
4 0 1 0 0 1 -1250000
4 0 1 0 0 2 667.7
5 0 1 0 0 1 -1250000
5 0 1 0 0 2 667.7 
0 0 1 1 0 1 20500
0 0 1 1 0 2 -9.68
1 0 1 1 0 1 20500
1 0 1 1 0 2 -9.68
2 0 1 1 0 1 20500
2 0 1 1 0 2 -9.68
3 0 1 1 0 1 20500
3 0 1 1 0 2 -9.68
4 0 1 1 0 1 20500
4 0 1 1 0 2 -9.68
5 0 1 1 0 1 20500
5 0 1 1 0 2 -9.68
0 1 2 1 0 1 28890
0 1 2 1 0 2 -7.962
0 1 2 1 1 1 5974
0 1 2 1 1 2 -2.428
1 1 2 1 0 1 28890
1 1 2 1 0 2 -7.962
1 1 2 1 1 1 5974
1 1 2 1 1 2 -2.428
2 1 2 1 0 1 28890
2 1 2 1 0 2 -7.962
2 1 2 1 1 1 5974
2 1 2 1 1 2 -2.428
3 1 2 1 0 1 28890
3 1 2 1 0 2 -7.962
3 1 2 1 1 1 5974
3 1 2 1 1 2 -2.428
4 1 2 1 0 1 28890
4 1 2 1 0 2 -7.962
4 1 2 1 1 1 5974
4 1 2 1 1 2 -2.428
5 1 2 1 0 1 28890
5 1 2 1 0 2 -7.962
5 1 2 1 1 1 5974
5 1 2 1 1 2 -2.428
0 0 2 1 0 1 36818
0 0 2 1 0 2 -9.141
0 0 2 1 1 1 -362
0 0 2 1 1 2 -5.724
1 0 2 1 0 1 36818
1 0 2 1 0 2 -9.141
1 0 2 1 1 1 -362
1 0 2 1 1 2 -5.724
2 0 2 1 0 1 36818
2 0 2 1 0 2 -9.141
2 0 2 1 1 1 -362
2 0 2 1 1 2 -5.724
3 0 2 1 0 1 36818
3 0 2 1 0 2 -9.141
3 0 2 1 1 1 -362
3 0 2 1 1 2 -5.724
4 0 2 1 0 1 36818
4 0 2 1 0 2 -9.141
4 0 2 1 1 1 -362
4 0 2 1 1 2 -5.724
5 0 2 1 0 1 36818
5 0 2 1 0 2 -9.141
5 0 2 1 1 1 -362
5 0 2 1 1 2 -5.724
0 0 2 0 0 1 -1250000
0 0 2 0 0 2 667.7
1 0 2 0 0 1 -1250000
1 0 2 0 0 2 667.7
2 0 2 0 0 1 -1250000
2 0 2 0 0 2 667.7
3 0 2 0 0 1 -1250000
3 0 2 0 0 2 667.7
4 0 2 0 0 1 -1250000
4 0 2 0 0 2 667.7
5 0 2 0 0 1 -1250000
5 0 2 0 0 2 667.7
//l'ordre pour L2power
1  
//Taille pour L2
6 1 2 3 1 2
//matrice L2 pour ferrite (C-Va-Fe/Cr)
//temperature i[C/Va] j[Fe] k[Cr] l[l'ordre] m[l'ordre pour polynom] valeur
0 0 1 0 0 1 -190
1 0 1 0 0 1 -190
2 0 1 0 0 1 -190
3 0 1 0 0 1 -190
4 0 1 0 0 1 -190
5 0 1 0 0 1 -190
0 0 1 1 0 1 -190
1 0 1 1 0 1 -190
2 0 1 1 0 1 -190
3 0 1 1 0 1 -190
4 0 1 1 0 1 -190
5 0 1 1 0 1 -190
//l'ordre pour L3power
0 0
//Taille pour L3ini
6 1 1 1 1 1 1
//matrice L3ini pour ferrite (Fe-Cr-Mo-C/Va)
0 0 0 0 0 0 0 0
//l'ordre pour L0power
0
//Taille pour L0
6 1 1 1 1 1 1
//matrice L0 pour ferrite (Fe-Cr-C-Va)
//temperature i[Fe] j[Cr] k[C] l[Va] m[l'ordre] n[l'ordre pour polynom] valeur
0 0 0 0 0 0 0 0
//l'ordre pour TCpower
0
//Taille pour TC
6 3 2 2
//matrice TC pour ferrite
//temperature i[Fe/Cr] j[C/Va] l[l'ordre] valeur
0 0 0 1 1043
1 0 0 1 1043
2 0 0 1 1043
3 0 0 1 1043
4 0 0 1 1043
5 0 0 1 1043
0 0 1 1 1043
1 0 1 1 1043
2 0 1 1 1043
3 0 1 1 1043
4 0 1 1 1043
5 0 1 1 1043
0 1 1 1 -311.5
1 1 1 1 -311.5
2 1 1 1 -311.5
3 1 1 1 -311.5
4 1 1 1 -311.5
5 1 1 1 -311.5
0 1 0 1 -311.5
1 1 0 1 -311.5
2 1 0 1 -311.5
3 1 0 1 -311.5
4 1 0 1 -311.5
5 1 0 1 -311.5
//l'ordre pour TC1power
0
//Taille pour TC1
6 1 3 2 2 2
//matrice TC1 pour ferrite (Fe-Cr-Mo-C/Va)
//temperature i[Fe] j[Cr] k[C/Va] l[l'ordre] m[l'ordre pour polynom] valeur
0 0 1 0 0 1 1650
1 0 1 0 0 1 1650
2 0 1 0 0 1 1650  
3 0 1 0 0 1 1650
4 0 1 0 0 1 1650
5 0 1 0 0 1 1650
0 0 1 0 1 1 550
1 0 1 0 1 1 550
2 0 1 0 1 1 550  
3 0 1 0 1 1 550
4 0 1 0 1 1 550
5 0 1 0 1 1 550
0 0 1 1 0 1 1650
1 0 1 1 0 1 1650
2 0 1 1 0 1 1650
3 0 1 1 0 1 1650
4 0 1 1 0 1 1650
5 0 1 1 0 1 1650
0 0 1 1 1 1 550
1 0 1 1 1 1 550
2 0 1 1 1 1 550
3 0 1 1 1 1 550
4 0 1 1 1 1 550
5 0 1 1 1 1 550
0 0 2 1 0 1 335
0 0 2 1 1 1 526
1 0 2 1 0 1 335
1 0 2 1 1 1 526
2 0 2 1 0 1 335
2 0 2 1 1 1 526
3 0 2 1 0 1 335
3 0 2 1 1 1 526
4 0 2 1 0 1 335
4 0 2 1 1 1 526
5 0 2 1 0 1 335
5 0 2 1 1 1 526
0 0 2 0 0 1 335
0 0 2 0 1 1 526
1 0 2 0 0 1 335
1 0 2 0 1 1 526
2 0 2 0 0 1 335
2 0 2 0 1 1 526
3 0 2 0 0 1 335
3 0 2 0 1 1 526
4 0 2 0 0 1 335
4 0 2 0 1 1 526
5 0 2 0 0 1 335
5 0 2 0 1 1 526
//l'ordre pour BMAGpower
0
//Taille pour BMAG
6 3 2 2
//matrice BMAG pour ferrite
//temperature i[Fe/Cr/Mo] j[C/Va] l[ordre] valeur
0 0 0 1 2.22
1 0 0 1 2.22
2 0 0 1 2.22
3 0 0 1 2.22
4 0 0 1 2.22
5 0 0 1 2.22
0 0 1 1 2.22
1 0 1 1 2.22
2 0 1 1 2.22
3 0 1 1 2.22
4 0 1 1 2.22
5 0 1 1 2.22
0 1 0 1 -0.008
1 1 0 1 -0.008
2 1 0 1 -0.008
3 1 0 1 -0.008
4 1 0 1 -0.008
5 1 0 1 -0.008
0 1 1 1 -0.01
1 1 1 1 -0.01
2 1 1 1 -0.01
3 1 1 1 -0.01
4 1 1 1 -0.01
5 1 1 1 -0.01
//l'ordre pour BMAG1power
0
//Taille pour BMAG1
6 1 2 3 1 2
//matrice BMAG1 pour ferrite (Fe-Cr-C/Va)
//teperature i[Fe] j[Cr] k[C/Va] l[l'ordre] m[l'ordre pour polynom] valeur
0 0 1 1 0 1 -0.85
1 0 1 1 0 1 -0.85
2 0 1 1 0 1 -0.85  
3 0 1 1 0 1 -0.85
4 0 1 1 0 1 -0.85
5 0 1 1 0 1 -0.85
0 0 1 0 0 1 -0.85
1 0 1 0 0 1 -0.85
2 0 1 0 0 1 -0.85
3 0 1 0 0 1 -0.85
4 0 1 0 0 1 -0.85
5 0 1 0 0 1 -0.85
//parametre p
0.4 1.
//taille coefficiente pre-exponantial
4
//coeff D0
0 2.2e-4
1 32.e-5
2 1.48e-2
3 16.e-5
//taille Q
4
//coeff Q
0 1.225e5
1 2.4e5
2 2.826e5
3 2.4e5
